Date,IBM
1/4/2021,120.21
1/5/2021,119.41
1/6/2021,121.21
1/7/2021,124.21
1/8/2021,122.81
1/11/2021,122.21
1/12/2021,123.3
1/13/2021,123.36
1/14/2021,122.28
1/15/2021,122.53
1/19/2021,123.48
1/20/2021,123.88
1/21/2021,124.29
1/22/2021,115.29
1/25/2021,113.44
1/26/2021,113.84
1/27/2021,116.61
1/28/2021,117.29
1/29/2021,114.83
2/1/2021,114.52
2/2/2021,114.01
2/3/2021,113.7
2/4/2021,114.53
2/5/2021,115.57
2/8/2021,117.12
2/9/2021,116.43
2/10/2021,117.51
2/11/2021,116.53
2/12/2021,115.57
2/16/2021,114.76
2/17/2021,113.92
2/18/2021,115.1
2/19/2021,115.34
2/22/2021,113.19
2/23/2021,115.5
2/24/2021,115.38
2/25/2021,117.84
2/26/2021,116.77
3/1/2021,114.95
3/2/2021,115.33
3/3/2021,115.1
3/4/2021,116.53
3/5/2021,115.23
3/8/2021,117.48
3/9/2021,119.78
3/10/2021,119.44
3/11/2021,122.35
3/12/2021,121.49
3/15/2021,122.04
3/16/2021,122.53
3/17/2021,122.7
3/18/2021,123.16
3/19/2021,124.19
3/22/2021,122.74
3/23/2021,124.59
3/24/2021,125.08
3/25/2021,124.49
3/26/2021,127.31
3/29/2021,129.88
3/30/2021,129.77
3/31/2021,128.51
4/1/2021,127.76
4/5/2021,127.65
4/6/2021,129.5
4/7/2021,127.84
4/8/2021,128.54
4/9/2021,128.82
4/12/2021,128.97
4/13/2021,127.04
4/14/2021,125.42
4/15/2021,127.3
4/16/2021,127.04
4/19/2021,127.61
4/20/2021,130.92
4/21/2021,131.87
4/22/2021,137.26
4/23/2021,134.97
4/26/2021,136.03
4/27/2021,135.34
4/28/2021,136.51
4/29/2021,137.67
4/30/2021,137.26
5/3/2021,137.36
5/4/2021,137.94
5/5/2021,139.4
5/6/2021,138.75
5/7/2021,139.38
5/10/2021,139.26
5/11/2021,138.49
5/12/2021,137.39
5/13/2021,135.11
5/14/2021,138.6
5/17/2021,137.96
5/18/2021,138.29
5/19/2021,135.94
5/20/2021,136.7
5/21/2021,137.81
5/24/2021,138.56
5/25/2021,138.42
5/26/2021,137.07
5/27/2021,137.37
5/28/2021,137.74
6/1/2021,138.5
6/2/2021,138.14
6/3/2021,138.41
6/4/2021,139.45
6/7/2021,140.93
6/8/2021,141.48
6/9/2021,142.35
6/10/2021,144.68
6/11/2021,143.69
6/14/2021,143.95
6/15/2021,143.13
6/16/2021,143.05
6/17/2021,140.93
6/18/2021,138
6/21/2021,137.65
6/22/2021,139.95
6/23/2021,139.86
6/24/2021,139.26
6/25/2021,138.86
6/28/2021,140.42
6/29/2021,138.75
6/30/2021,138.62
7/1/2021,140.37
7/2/2021,140.32
7/6/2021,133.71
7/7/2021,132.54
7/8/2021,131.6
7/9/2021,135.11
7/12/2021,135.09
7/13/2021,134.6
7/14/2021,134.41
7/15/2021,133.07
7/16/2021,134.68
7/19/2021,130.33
7/20/2021,136.59
7/21/2021,133.69
7/22/2021,135.31
7/23/2021,134.64
7/26/2021,135.05
7/27/2021,136.14
7/28/2021,136.6
7/29/2021,135.95
7/30/2021,135.17
8/2/2021,135.11
8/3/2021,135.54
8/4/2021,137.35
8/5/2021,136.62
8/6/2021,136.59
8/9/2021,135.82
8/10/2021,134.88
8/11/2021,135.42
8/12/2021,135.88
8/13/2021,136.24
8/16/2021,136.81
8/17/2021,136.59
8/18/2021,135.32
8/19/2021,132.47
8/20/2021,131.56
8/23/2021,133.36
8/24/2021,133.51
8/25/2021,133.65
8/26/2021,133.69
8/27/2021,132.49
8/30/2021,133.25
8/31/2021,133.28
9/1/2021,133.7
9/2/2021,133.46
9/3/2021,133.42
9/7/2021,133.39
9/8/2021,131.95
9/9/2021,131.67
9/10/2021,132.6
9/13/2021,132.19
9/14/2021,132.19
9/15/2021,130.11
9/16/2021,131.12
9/17/2021,129.66
9/20/2021,127.9
9/21/2021,129.05
9/22/2021,127.72
9/23/2021,129.19
9/24/2021,130.89
9/27/2021,131.77
9/28/2021,132.93
9/29/2021,131.55
9/30/2021,133.72
10/1/2021,134.68
10/4/2021,136.34
10/5/2021,138.26
10/6/2021,136.09
10/7/2021,136.33
10/8/2021,135.45
10/11/2021,137.07
10/12/2021,135.83
10/13/2021,134.22
10/14/2021,134.72
10/15/2021,136.96
10/18/2021,137.54
10/19/2021,134.75
10/20/2021,135.33
10/21/2021,127.52
10/22/2021,122.31
10/25/2021,121.81
10/26/2021,121.8
10/27/2021,121.73
10/28/2021,119.56
10/29/2021,119.81
11/1/2021,119.44
11/2/2021,120.64
11/3/2021,120.57
11/4/2021,123.05
11/5/2021,121.43
11/8/2021,123.99
11/9/2021,122.56
11/10/2021,121
11/11/2021,120.9
11/12/2021,120
11/15/2021,119.54
11/16/2021,118.92
11/17/2021,118.38
11/18/2021,118.36
11/19/2021,116.49
11/22/2021,116
11/23/2021,116.79
11/24/2021,116.16
11/26/2021,115
11/29/2021,118.62
11/30/2021,117.5
12/1/2021,118.25
12/2/2021,117.37
12/3/2021,117.36
12/6/2021,119.4
12/7/2021,120.48
12/8/2021,122
12/9/2021,122.15
12/10/2021,124.3
12/13/2021,123.76
12/14/2021,122.35
12/15/2021,123.8
12/16/2021,123.51
12/17/2021,125.87
12/20/2021,125.72
12/21/2021,127.66
12/22/2021,129.06
12/23/2021,130
12/27/2021,130.63
12/28/2021,131.6
12/29/2021,132.4
12/30/2021,133.75
12/31/2021,134
